Academic Year,UniversityID,DegreeID,FacultyID,Degree,Ambit-id,AcademicLevelId,Credits,Offered Credits
2024-25,a62a164f781be26dd225dfda47b78c12,b9f1f54140aae74012dc5768ba59c3cc,ae4b495e41f0e7a7d845ee53a2e695cf,INGENIERIA INFORMATICA,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,492
2024-25,a62a164f781be26dd225dfda47b78c12,9ddf6d02aa6b4444f97e0ef96176ed1d,529bf45fb09c7ba0a809d81d1e4073af,BIOTECNOLOGIA,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,252
2024-25,a62a164f781be26dd225dfda47b78c12,020abbaeb3455045b900a89c8a695ec3,529bf45fb09c7ba0a809d81d1e4073af,INGENIERIA AGRICOLA Y AGROALIMENTARIA,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,330
2024-25,a62a164f781be26dd225dfda47b78c12,e7e4355b3c3d58cf9d66b07c7c055271,529bf45fb09c7ba0a809d81d1e4073af,INGENIERIA FORESTAL Y MEDIO NATURAL,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,276
2024-25,a62a164f781be26dd225dfda47b78c12,c8b05a3e95265c905506a96507dbb560,08de2a84d280d6be869c42d863a7129a,INGENIERIA ELECTRICA,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,276
2024-25,a62a164f781be26dd225dfda47b78c12,a07fd94e64750913f82adfb8599e24bb,08de2a84d280d6be869c42d863a7129a,INGENIERIA ELECTRONICA INDUSTRIAL Y AUTOMATICA,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,294
2024-25,a62a164f781be26dd225dfda47b78c12,3a8aa47b6b1c1e5aa2bcd01f24ced891,08de2a84d280d6be869c42d863a7129a,INGENIERIA MECANICA,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,312
2024-25,a62a164f781be26dd225dfda47b78c12,ae46d1baf91065adc798c35b3ce71355,095666c08b0f872219abd1fc8c311df6,DERECHO-ECONOMIA,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,376.5,144
2024-25,a62a164f781be26dd225dfda47b78c12,777c0366e959bb1eedcc43200291b8a8,095666c08b0f872219abd1fc8c311df6,ECONOMIA-DERECHO,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,372,388.5
2024-25,a62a164f781be26dd225dfda47b78c12,402c2c235be6d27bd0b3641e7c50ae7f,095666c08b0f872219abd1fc8c311df6,ADMINISTRACION Y DIRECCION DE EMPRESAS,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,240,322.5
2024-25,a62a164f781be26dd225dfda47b78c12,717e4b87179df0bed55c9525b8c57fb0,095666c08b0f872219abd1fc8c311df6,ECONOMIA,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,240,318
2024-25,a62a164f781be26dd225dfda47b78c12,ae46d1baf91065adc798c35b3ce71355,5894a3cf48c4549d514bb8ec3295355e,DERECHO-ECONOMIA,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,372,388.5
2024-25,a62a164f781be26dd225dfda47b78c12,884d78a2c8c46ff98230cec6f535a38a,5894a3cf48c4549d514bb8ec3295355e,CRIMINOLOGIA,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,240,246
2024-25,a62a164f781be26dd225dfda47b78c12,4a3a00a6a21ec6c225c470b015de43c1,5894a3cf48c4549d514bb8ec3295355e,DERECHO,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,240,307.5
2024-25,a62a164f781be26dd225dfda47b78c12,f90164f12a9c293db9afeda70b07b9d9,7dc6cb24b94c45a0e20b1c5db16ad0aa,EDUCACION PRIMARIA-EDUCACION INFANTIL,03b7c4d6f22bd8efa1659d8e6a06d97e,eb0a191797624dd3a48fa681d3061212,363,459
2024-25,a62a164f781be26dd225dfda47b78c12,04fd0d8a547a17bf0ee061c8270e1972,7dc6cb24b94c45a0e20b1c5db16ad0aa,EDUCACION INFANTIL,03b7c4d6f22bd8efa1659d8e6a06d97e,eb0a191797624dd3a48fa681d3061212,240,459
2024-25,a62a164f781be26dd225dfda47b78c12,66c206794f40906b1c5393c4496d2706,7dc6cb24b94c45a0e20b1c5db16ad0aa,EDUCACION PRIMARIA,03b7c4d6f22bd8efa1659d8e6a06d97e,eb0a191797624dd3a48fa681d3061212,240,432
2024-25,a62a164f781be26dd225dfda47b78c12,64e36d464ba01fbe2788a793acd102b8,dfa2af31f882d73897139f71c72138e7,ENFERMERIA,afc4b5d3b7e78e8fb66cf859c95aaefe,d6d85d89b4612501521435bd3f620a9a,240,258
2024-25,a62a164f781be26dd225dfda47b78c12,53eea58048b158c254ca293baecff382,1ec4f16736cbe11775a6035d70832f81,FARMACIA,afc4b5d3b7e78e8fb66cf859c95aaefe,d6d85d89b4612501521435bd3f620a9a,300,322.5
2024-25,a62a164f781be26dd225dfda47b78c12,913f98876dfaed45ddd54ba53c6783e1,a4468489923a2330152c62f16c927775,HUMANIDADES Y ESTUDIOS SOCIALES,72ceb55b13672d5fdbac7ce07f1e85a8,d6d85d89b4612501521435bd3f620a9a,240,282
2024-25,a62a164f781be26dd225dfda47b78c12,f9ba38892c9a4f315ea0ae7d512e79e7,d766f0955f8d341c7667aa9793b1e6c8,MEDICINA,afc4b5d3b7e78e8fb66cf859c95aaefe,d6d85d89b4612501521435bd3f620a9a,360,384
2024-25,a62a164f781be26dd225dfda47b78c12,d231ad8ba72cc5b23ae24e0aa51696c3,d766f0955f8d341c7667aa9793b1e6c8,PSICOLOGIA,afc4b5d3b7e78e8fb66cf859c95aaefe,d6d85d89b4612501521435bd3f620a9a,240,120
2024-25,a62a164f781be26dd225dfda47b78c12,c3bf0872c66988b882d13d23fd540acc,a6091dcf32320f14f03b7e404d8894f5,RELACIONES LABORALES Y DESARROLLO DE RECURSOS HUMANOS,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,240,291
2024-25,a62a164f781be26dd225dfda47b78c12,c8b05a3e95265c905506a96507dbb560,96ffcb842e69358691bb9d242c344811,INGENIERIA ELECTRICA,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,271.5
2024-25,a62a164f781be26dd225dfda47b78c12,3a8aa47b6b1c1e5aa2bcd01f24ced891,96ffcb842e69358691bb9d242c344811,INGENIERIA MECANICA,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,271.5
2024-25,a62a164f781be26dd225dfda47b78c12,f5c3abd4a31cda52ab09ea91498e3d1f,96ffcb842e69358691bb9d242c344811,INGENIERIA MINERA Y ENERGETICA,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,288
2024-25,a62a164f781be26dd225dfda47b78c12,b9f1f54140aae74012dc5768ba59c3cc,4a3effd00277d6ebeba287b35c4e0010,INGENIERIA INFORMATICA,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,498
2024-25,a62a164f781be26dd225dfda47b78c12,f0d97bfc519bf192897d09e29d1c537d,caf2e5f367db0b89c2367977d9eb0f47,ENOLOGIA,cca488c1d5d31aa9a4c4356b47f75ebd,d6d85d89b4612501521435bd3f620a9a,240,246
2024-25,a62a164f781be26dd225dfda47b78c12,020abbaeb3455045b900a89c8a695ec3,caf2e5f367db0b89c2367977d9eb0f47,INGENIERIA AGRICOLA Y AGROALIMENTARIA,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,334.5
2024-25,a62a164f781be26dd225dfda47b78c12,1a200709326382531526481104fbe329,46452214e03b89d343d3db84a0d62ad3,INGENIERIA CIVIL Y TERRITORIAL,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,246
2024-25,a62a164f781be26dd225dfda47b78c12,15d30e6e472f20a004e9bc665d540ba6,46452214e03b89d343d3db84a0d62ad3,MATEMATICAS,cca488c1d5d31aa9a4c4356b47f75ebd,d6d85d89b4612501521435bd3f620a9a,240,120
2024-25,a62a164f781be26dd225dfda47b78c12,c8b05a3e95265c905506a96507dbb560,91fea5aa7206a75c553d8ad2516db35f,INGENIERIA ELECTRICA,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,270
2024-25,a62a164f781be26dd225dfda47b78c12,a07fd94e64750913f82adfb8599e24bb,91fea5aa7206a75c553d8ad2516db35f,INGENIERIA ELECTRONICA INDUSTRIAL Y AUTOMATICA,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,270
2024-25,a62a164f781be26dd225dfda47b78c12,3a8aa47b6b1c1e5aa2bcd01f24ced891,91fea5aa7206a75c553d8ad2516db35f,INGENIERIA MECANICA,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,282
2024-25,a62a164f781be26dd225dfda47b78c12,48911faba98caae5186106f6b70fc32f,90d6377df46f95e2662752e8f5de88a3,CIENCIA Y TECNOLOGIA DE LOS ALIMENTOS,cca488c1d5d31aa9a4c4356b47f75ebd,d6d85d89b4612501521435bd3f620a9a,240,258
2024-25,a62a164f781be26dd225dfda47b78c12,3cb85806f8b41509279bbfc6aba08107,90d6377df46f95e2662752e8f5de88a3,INGENIERIA QUIMICA,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,282
2024-25,a62a164f781be26dd225dfda47b78c12,114768b1b9684c363fc152fb7c16d8b0,90d6377df46f95e2662752e8f5de88a3,QUIMICA,cca488c1d5d31aa9a4c4356b47f75ebd,d6d85d89b4612501521435bd3f620a9a,240,264
2024-25,a62a164f781be26dd225dfda47b78c12,1c6ef536a721e6a27f674a015578b9fd,29fc99a356e36c4c71a93cec39bb0b4e,DERECHO-ADMINISTRACION Y DIRECCION DE EMPRESAS,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,360,256.5
2024-25,a62a164f781be26dd225dfda47b78c12,402c2c235be6d27bd0b3641e7c50ae7f,29fc99a356e36c4c71a93cec39bb0b4e,ADMINISTRACION Y DIRECCION DE EMPRESAS,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,240,322.5
2024-25,a62a164f781be26dd225dfda47b78c12,4a3a00a6a21ec6c225c470b015de43c1,29fc99a356e36c4c71a93cec39bb0b4e,DERECHO,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,240,300
2024-25,a62a164f781be26dd225dfda47b78c12,c3bf0872c66988b882d13d23fd540acc,29fc99a356e36c4c71a93cec39bb0b4e,RELACIONES LABORALES Y DESARROLLO DE RECURSOS HUMANOS,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,240,264
2024-25,a62a164f781be26dd225dfda47b78c12,6934eace5195aa66924eb7dfb980e09d,e0c7d5efce79bec35bb7ed5a63ad5f5e,EDUCACION PRIMARIA-EDUCACION INFANTIL,03b7c4d6f22bd8efa1659d8e6a06d97e,eb0a191797624dd3a48fa681d3061212,363,453
2024-25,a62a164f781be26dd225dfda47b78c12,04fd0d8a547a17bf0ee061c8270e1972,e0c7d5efce79bec35bb7ed5a63ad5f5e,EDUCACION INFANTIL,03b7c4d6f22bd8efa1659d8e6a06d97e,eb0a191797624dd3a48fa681d3061212,240,459
2024-25,a62a164f781be26dd225dfda47b78c12,66c206794f40906b1c5393c4496d2706,e0c7d5efce79bec35bb7ed5a63ad5f5e,EDUCACION PRIMARIA,03b7c4d6f22bd8efa1659d8e6a06d97e,eb0a191797624dd3a48fa681d3061212,240,450
2024-25,a62a164f781be26dd225dfda47b78c12,64e36d464ba01fbe2788a793acd102b8,2a5ac0c17bfc78f3b120116be4a96d01,ENFERMERIA,afc4b5d3b7e78e8fb66cf859c95aaefe,d6d85d89b4612501521435bd3f620a9a,240,252
2024-25,a62a164f781be26dd225dfda47b78c12,4dbfcc5399670790df2c11aaaa46faec,5c14362f7406a2442d6deb3f3a110b8f,HISTORIA E HISTORIA DEL ARTE,72ceb55b13672d5fdbac7ce07f1e85a8,d6d85d89b4612501521435bd3f620a9a,360,396
2024-25,a62a164f781be26dd225dfda47b78c12,78bba9df2e180d0e9e4f1217000d8753,5c14362f7406a2442d6deb3f3a110b8f,"HISTORIA Y GEOGRAFIA, DESARROLLO TERRITORIAL Y SOSTENIBILIDAD",72ceb55b13672d5fdbac7ce07f1e85a8,d6d85d89b4612501521435bd3f620a9a,360,372
2024-25,a62a164f781be26dd225dfda47b78c12,3b66122460ef83b17f68c51237c37590,5c14362f7406a2442d6deb3f3a110b8f,ESPAÃ‘OL: LENGUA Y LITERATURA,72ceb55b13672d5fdbac7ce07f1e85a8,d6d85d89b4612501521435bd3f620a9a,240,354
2024-25,a62a164f781be26dd225dfda47b78c12,65ab56e3c3d69536956bd53a1a885f1f,5c14362f7406a2442d6deb3f3a110b8f,ESTUDIOS INGLESES,72ceb55b13672d5fdbac7ce07f1e85a8,d6d85d89b4612501521435bd3f620a9a,240,330
2024-25,a62a164f781be26dd225dfda47b78c12,77e72cbff00ba16a4701d8bafb35f7f0,5c14362f7406a2442d6deb3f3a110b8f,GEOGRAFIA Y ORDENACION DEL TERRITORIO,72ceb55b13672d5fdbac7ce07f1e85a8,d6d85d89b4612501521435bd3f620a9a,240,0
2024-25,a62a164f781be26dd225dfda47b78c12,20fbbf7aa3571b964957e62badddf828,5c14362f7406a2442d6deb3f3a110b8f,"GEOGRAFIA, DESARROLLO TERRITORIAL Y SOSTENIBILIDAD",72ceb55b13672d5fdbac7ce07f1e85a8,d6d85d89b4612501521435bd3f620a9a,240,246
