X,Y,OBJECTID_1,OBJECTID,Texto
-3.92017372420796,40.3714974338577,1,1,Universidad Europea CEES
-3.62943649149727,40.3885378375368,2,2,Universidad Politécnica de Madrid
-3.72472283914772,40.3149483947384,3,3,Universidad Carlos III
-3.69449529610002,40.5454945752959,4,4,Universidad Autónoma de Madrid
-5.93801399008863,37.3550432527494,5,5,Universidad Pablo de Olavide
-3.98475300631543,40.4528534545507,6,6,Universidad Alfonso X El Sabio
-3.94053433566824,40.6011060350452,7,7,Universidad Antonio Nebrija
-3.79683320223684,43.4727622095351,8,8,Universidad Internacional Menéndez Pelayo
-3.80486413458866,43.4709873370692,9,9,Universidad de Cantabria
-2.40558122204579,36.8291939400439,10,10,Universidad de Almería
2.64396643034038,39.6379201132554,11,11,Universitat de les Illes Balears
2.16372300199702,41.3867831891741,12,12,Universitat de Barcelona
-6.30447296694254,36.5312052734307,13,13,Universidad de Cádiz
-4.78825845053369,37.8852507785518,14,14,Universidad de Córdoba
-3.60899391415716,37.1826192019113,15,15,Universidad de Granada
-6.92373768517607,37.2728453480001,16,16,Universidad de Huelva
-6.00717716129192,37.4069306695561,17,17,Universidad Internacional de Andalucía
-3.77760155389977,37.7886511565279,18,18,Universidad de Jaén
-4.47136898716463,36.7163488936969,19,19,Universidad de Málaga
-5.99049009610001,37.3812189683545,20,20,Universidad de Sevilla
-0.896589039248726,41.6421016648685,21,21,Universidad de Zaragoza
-0.83471348492384,41.7565687441247,22,22,Universidad San Jorge
-16.3128021217083,28.4849073238751,23,23,Universidad de La Laguna
-15.4178744734584,28.0999232719929,24,24,Universidad de Las Palmas de Gran Canaria
-3.92676681760758,38.9928801216164,25,25,Universidad de Castilla-La Mancha
-3.72750379958686,42.3407904721535,26,26,Universidad de Burgos
-4.70457863010315,40.6666089335601,27,27,Universidad Católica Santa Teresa de Jesús de Ávila
-4.71579693869493,41.6261427446342,28,28,Universidad Europea Miguel de Cervantes
-4.11901294582375,40.9526854083577,29,29,IE Universidad
-5.56027445139375,42.611424320082,30,30,Universidad de León
-3.71074029674739,40.4299145661104,31,31,Universidad Pontificia Comillas
-5.66751090401254,40.9614606760067,32,32,Universidad de Salamanca
-4.71459695027382,41.6569335070935,33,33,Universidad de Valladolid
2.12626056958485,41.4099724650698,34,34,Universitat Abat Oliba CEU
2.10654674782406,41.5019181911489,35,35,Universidad Autónoma de Barcelona
2.82594539157746,41.9850397846325,36,36,Universidad de Girona
2.12393106018669,41.4069525053761,37,37,Universitat Internacional de Catalunya
0.61996848807155,41.6147086581675,38,38,Universidad de Lleida
2.13377998684085,41.4153275768252,39,39,Universitat Oberta de Catalunya
2.11294904534556,41.3875263213212,40,40,Universitat Politécnica de Catalunya 
2.1796612091102,41.3790259493919,41,41,Universidad Pompeu Fabra
2.1306212354174,41.4117004589995,42,42,Universidad Ramón Llull
1.24281824246684,41.1307662557926,43,43,Universidad Rovira i Virgili
2.24724269862647,41.9334880595044,44,44,Universidad de Vic-Universidad Central de Catalunya
-3.36292585631034,40.4827036947304,45,45,Universidad de Alcalá
-3.9406980078147,40.4714294737281,46,46,Universidad Camilo José Cela
-3.72655232829242,40.4440117993407,47,47,Universidad Complutense de Madrid
-3.99710787418447,40.6322001843253,48,48,Universidad a Distancia de Madrid
-3.83379770028366,40.4394678524786,49,49,Universidad Francisco de Vitoria
-3.70398648037038,40.4380859254878,50,50,Universidad Nacional de Educación a Distancia
-3.8745344245328,40.3378518005777,51,51,Universidad Rey Juan Carlos I
-3.71829408713943,40.4429462469786,52,52,Universidad San Pablo-CEU
-1.66153036258028,42.8018341292834,53,53,Universidad de Navarra
-1.6357836512041,42.7999498079957,54,54,Universidad Pública de Navarra
-0.511658349262249,38.3868710635521,55,55,Universidad de Alicante
-0.067336331190366,39.9952811680712,56,56,Universidad Jaume I de Castellón
-0.693270732286383,38.2738194758464,57,57,Universidad Miguel Hernández de Elche
-0.344189552314363,39.4822110737617,58,58,Universitat Politècnica de València
-0.362130398843281,39.4786729643711,59,59,Universitat de València
-0.389079454921633,39.5512607995648,60,60,Universidad Cardenal Herrera-CEU
-0.383973688663178,39.4758544177562,61,61,Universidad Católica de Valencia San Vicente Mártir
-6.34900961245418,39.4788736628039,62,62,Universidad de Extremadura
-8.39026357418837,43.3708070095001,63,63,Universidad de A Coruña
-8.55258263773453,42.8766415559859,64,64,Universidad de Santiago de Compostela
-8.68799198781852,42.1692262520493,65,65,Universidad de Vigo
-2.42769204542866,42.4630284015855,66,66,Universidad de La Rioja
-2.45044745314701,42.4637382217245,67,67,Universidad Internacional de La Rioja
-2.49827959163469,43.0616032236831,68,68,Mondragón Unibertsitatea
-2.93762264604034,43.2706826917592,69,69,Universidad de Deusto
-2.99712949567462,43.2987893013184,70,70,Universidad del País Vasco/Euskal Herriko Unibertsitatea
-5.84759009640863,43.3612825498496,71,71,Universidad de Oviedo
-0.979214750473732,37.6036212607055,72,72,Universidad Politécnica de Cartagena
-1.18701553032962,37.9919678946623,73,73,Universidad Católica San Antonio
-1.1272704780247,37.9822184417461,74,74,Universidad de Murcia
-5.97801394488781,37.3388865901087,75,75,Universidad Loyola Andalucía
-5.66666084173391,40.9630997498993,76,76,Universidad Pontificia de Salamanca
-3.87584782885183,43.4517582990039,77,77,Universidad Europea del Atlántico
-16.5243125547171,28.3904758131681,78,78,Universidad Europea de Canarias
-0.366140591459311,39.4782849452044,79,79,Universidad Europea de Valencia
-15.4126134172334,28.09813163062,80,80,Uiversidad Fernando Pessoa-Canarias
-3.7091057519008,42.340989234989,81,81,Universidad Internacional Isabel I
-0.351642009149091,39.4768425486929,82,82,Universidad Internacional de Valencia
